mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /ani/stories/lise17.htm                            |         1 |
| /ani/stories/lise18c.htm                           |      NULL |
| /ani/stories/lise19b.htm                           |         1 |
| /ani/stories/lise2.htm                             |         1 |
| /ani/stories/lise20.htm                            |      NULL |
| /ani/stories/lise21.htm                            |      NULL |
| /ani/stories/lise22.htm                            |      NULL |
| /ani/stories/lise23.htm                            |      NULL |
| /ani/stories/lise24.htm                            |      NULL |
| /ani/stories/lise3.htm                             |         0 |
| /ani/stories/lise5.htm                             |         0 |
| /ani/stories/lise6.htm                             |         1 |
| /ani/stories/lise7.htm                             |         1 |
| /ani/stories/lise8.htm                             |         1 |
| /ani/stories/lise9.htm                             |         1 |
| /ani/stories/liz1.htm                              |         1 |
| /ani/stories/lol1.htm                              |         1 |
| /ani/stories/lost.htm                              |         1 |
| /ani/stories/lydia1.htm                            |         0 |
| /ani/stories/lynae1.htm                            |         1 |
| /ani/stories/lynae2.htm                            |         1 |
| /ani/stories/mariah1.htm                           |         1 |
| /ani/stories/mariah2.htm                           |         1 |
| /ani/stories/mariah3.htm                           |         1 |
| /ani/stories/mariah4.htm                           |         0 |
| /ani/stories/mariah5.htm                           |         1 |
| /ani/stories/mariah6.htm                           |         1 |
| /ani/stories/mariah7.htm                           |         1 |
| /ani/stories/maryc1.htm                            |         1 |
| /ani/stories/maryc2.htm                            |      NULL |
| /ani/stories/maryc3.htm                            |      NULL |
| /ani/stories/maryc5.htm                            |         1 |
| /ani/stories/maryc6.htm                            |      NULL |
| /ani/stories/megsa1.htm                            |         1 |
| /ani/stories/megsa2.htm                            |         0 |
| /ani/stories/michelle1.htm                         |         0 |
| /ani/stories/mihai1.htm                            |         0 |
| /ani/stories/mirror.htm                            |         0 |
| /ani/stories/mlhe1.htm                             |         0 |
| /ani/stories/monica1.htm                           |         1 |
| /ani/stories/mortie1.htm                           |         0 |
| /ani/stories/mortie2.htm                           |         0 |
